Timestamp,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1700108843.898350,4360.000000,4442.948730,4126.282227,4274.358887,4363.589844
1700108843.906160,4349.871582,4443.205078,4144.743652,4270.512695,4350.769043
1700108843.913970,4356.538574,4449.358887,4141.794922,4280.641113,4357.692383
1700108843.921780,4360.897461,4438.717773,4139.230957,4278.589844,4364.230957
1700108843.929590,4358.589844,4426.538574,4152.307617,4277.692383,4363.589844
1700108843.937400,4361.153809,4440.000000,4162.948730,4285.897461,4370.769043
1700108843.945210,4363.974121,4448.205078,4173.974121,4282.948730,4374.615234
1700108843.953020,4365.000000,4432.307617,4178.717773,4280.128418,4363.974121
1700108843.960830,4360.641113,4427.563965,4172.179688,4287.692383,4355.384766
1700108843.968640,4348.333496,4438.974121,4172.820313,4289.358887,4362.692383
1700108843.976450,4349.615234,4440.128418,4164.487305,4289.102539,4371.922852
1700108843.984260,4366.922852,4440.769043,4145.000000,4292.051270,4363.846191
1700108843.992070,4369.102539,4451.282227,4148.461426,4286.794922,4353.205078
1700108843.999880,4357.051270,4448.974121,4145.512695,4280.256348,4360.256348
1700108844.007690,4357.563965,4431.666504,4116.538574,4275.000000,4368.461426
1700108844.015500,4363.205078,4430.256348,4113.717773,4265.384766,4366.922852
1700108844.023310,4358.461426,4446.538574,4126.794922,4266.153809,4368.589844
1700108844.031120,4355.641113,4450.128418,4126.538574,4277.179688,4371.282227
1700108844.038930,4364.615234,4441.922852,4148.333496,4280.769043,4370.641113
1700108844.046740,4371.282227,4443.333496,4168.461426,4284.871582,4373.205078
1700108844.054550,4367.948730,4438.974121,4151.153809,4290.512695,4372.307617
1700108844.062360,4365.512695,4424.102539,4152.692383,4282.307617,4366.922852
1700108844.070170,4368.205078,4433.077148,4177.692383,4274.358887,4370.897461
1700108844.077980,4373.205078,4455.512695,4180.256348,4283.589844,4376.794922
1700108844.085790,4379.230957,4448.717773,4183.717773,4295.256348,4371.794922
1700108844.093600,4373.974121,4427.051270,4184.743652,4299.615234,4364.487305
1700108844.101410,4360.641113,4418.589844,4155.256348,4298.205078,4364.230957
1700108844.109220,4363.333496,4420.897461,4137.051270,4291.538574,4367.307617
1700108844.117030,4372.692383,4436.922852,4141.153809,4286.538574,4366.794922
1700108844.124840,4372.563965,4456.025879,4138.717773,4286.538574,4365.641113
1700108844.132650,4382.948730,4456.666504,4138.717773,4287.307617,4368.589844
1700108844.140460,4390.256348,4451.025879,4126.794922,4287.436035,4366.025879
1700108844.148270,4367.563965,4446.025879,4105.128418,4282.436035,4358.717773
1700108844.156080,4359.230957,4436.153809,4125.512695,4275.897461,4363.974121
1700108844.163890,4380.000000,4444.615234,4155.897461,4279.615234,4368.333496
1700108844.171700,4376.410156,4462.307617,4155.641113,4285.384766,4357.051270
1700108844.179510,4363.717773,4445.769043,4174.102539,4279.743652,4356.666504
1700108844.187320,4383.974121,4419.743652,4192.051270,4272.692383,4368.846191
1700108844.195130,4399.743652,4426.922852,4168.205078,4273.077148,4368.717773
1700108844.202940,4389.743652,4437.692383,4166.794922,4279.102539,4371.025879
1700108844.210750,4383.461426,4427.307617,4185.000000,4286.922852,4384.230957
1700108844.218560,4381.922852,4427.051270,4156.282227,4286.922852,4380.769043
1700108844.226370,4386.538574,4452.692383,4129.743652,4281.282227,4368.461426
1700108844.234180,4403.077148,4470.641113,4142.692383,4285.769043,4374.102539
1700108844.241990,4400.641113,4456.410156,4141.410156,4290.769043,4386.410156
1700108844.249800,4383.846191,4442.563965,4127.948730,4283.974121,4391.153809
1700108844.257610,4393.077148,4456.410156,4126.538574,4284.615234,4393.077148
1700108844.265420,4407.563965,4461.282227,4120.897461,4296.282227,4391.666504
1700108844.273230,4395.641113,4447.051270,4125.384766,4295.256348,4387.307617
1700108844.281040,4385.128418,4455.256348,4145.897461,4286.538574,4387.820313
1700108844.288850,4389.358887,4465.128418,4148.974121,4286.282227,4390.769043
1700108844.296660,4389.358887,4440.000000,4143.974121,4282.307617,4384.743652
1700108844.304470,4389.871582,4425.256348,4156.410156,4274.871582,4373.717773
1700108844.312280,4389.102539,4443.077148,4166.282227,4277.948730,4369.230957
1700108844.320090,4366.282227,4448.077148,4152.307617,4273.205078,4363.461426
1700108844.327900,4343.461426,4436.922852,4129.358887,4252.820313,4350.512695
1700108844.335710,4354.871582,4438.717773,4126.153809,4252.307617,4351.666504
1700108844.343530,4379.487305,4457.179688,4142.948730,4276.538574,4368.205078
1700108844.351330,4387.692383,4481.282227,4151.282227,4287.692383,4373.205078
1700108844.359150,4388.846191,4483.205078,4147.179688,4281.922852,4369.743652
1700108844.366950,4390.000000,4458.589844,4141.282227,4280.256348,4376.666504
1700108844.374770,4385.128418,4449.743652,4125.897461,4282.436035,4383.846191
1700108844.382570,4383.077148,4457.948730,4120.384766,4284.230957,4383.846191
1700108844.390390,4389.615234,4455.000000,4143.974121,4285.384766,4385.384766
1700108844.398190,4391.410156,4456.666504,4154.102539,4283.205078,4385.384766
1700108844.406010,4379.871582,4455.897461,4141.666504,4282.179688,4379.871582
1700108844.413820,4366.410156,4429.871582,4153.974121,4280.512695,4377.307617
1700108844.421630,4365.384766,4425.769043,4170.384766,4271.922852,4377.179688
1700108844.429440,4374.743652,4453.589844,4160.769043,4267.179688,4372.179688
